Company,URL,Company Description,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,VC Backed,Last Funding Round,Last Funding Date,Last Funding Amount
3D-SensIR,http://www.3d-sensir.com,3D-SensIR captures reality to enable augmented reality. Works outdoors.,0.11,Internet,Internet Software & Services,"Scientific, Engineering",United States,,,,Seed,2/18/2016,0.11
8i,http://www.8i.com,"8i develops technology that empowers creators to bring real people into volumetric virtual experiences. The company transforms HD video from multiple cameras into a fully volumetric recording of a human that viewers can walk around in virtual reality and augmented reality, or interact with on the web.",40.5,Software (non-internet/mobile),"Scientific, Engineering Software",,United States,California,Culver City,Yes,Series B,11/22/2016,27
8th Wall,http://www.8thwall.com,8th Wall has developed a suite of tools for building augmented reality applications.,10.4,Software (non-internet/mobile),"Scientific, Engineering Software",,United States,California,Palo Alto,Yes,Series A,2/6/2018,8
ADVR,http://www.advr.io,ADVR is a San Francisco based discovery marketing engine for virtual and augmented reality applications.,3,Software (non-internet/mobile),"Advertising, Sales & Marketing",,United States,California,San Francisco,,Seed,3/31/2017,3
ALTality,http://www.spellboundar.com,"ALTality, dba SpellBound, uses augmented reality to create patient experiences for children, improving satisfaction for families, and reducing procedural costs for hospitals. SpellBound works with the iOS and Android devices that are already used by hospital therapists and families to bring books, spaces, and printed materials to 3D life.",0.08,Mobile & Telecommunications,Mobile Software & Services,Application & Data Integration,United States,Michigan,Ann Arbor,,Debt,9/1/2017,0.08
AR Devices,http://www.gogglepal.com,"AR Devices, dba GogglePal, enables users to add an augmented reality (AR) and real-time heads up display (HUD) to any pair of goggles. Simply attach the GogglePal to a lens, and users can unlock a mountain of performance data.",,Consumer Products & Services,Consumer Electronics,,United States,California,San Jose,,Convertible Note,1/23/2017,
AR-Cadia,http://www.ar-cadia.com,"AR-Cadia simplifies the entry of mobile applications and their developers to the Smart Glasses AR ecosystem. AR-Cadia simplifies a complex process of extending mobile apps to AR headsets, shortening the development time from months to days, making the AR future accessible for mobile developers today.",0.02,Software (non-internet/mobile),Application & Data Integration Software,,United States,California,Palo Alto,,Seed,5/23/2016,0.02
ARToolworks,http://www.artoolworks.com,"ARToolworks is a pioneer in the field of camera-based augmented reality. The company's core product line, ARToolworks', spans 5 operating systems, multiple CPU architectures, 6 languages and a myriad of APIs. In addition, the company handles the commercial licensing to a host of open source variants.",,Software (non-internet/mobile),"Scientific, Engineering Software",,United States,Washington,Seattle,,,,
ARdVRk Technologies,http://www.ardvrktech.com,"ARdVRk Technologies is developing proprietary, integrated systems and platforms that will enable the practical, cost effective application of augmented and virtual reality (AR/VR). The company's applications provide targeted solutions for enhanced engagement, selling and marketing.",0.86,Software (non-internet/mobile),"Scientific, Engineering Software",,United States,Pennsylvania,Doylestown,,Convertible Note,12/20/2016,0.86
ARival Labs,http://www.arrivallabs.com,"ARrival Labs was founded in 2013 and specializes in Augmented Reality products and services.The company has expertise in software development. ARrival Tools is a PC/MAC software development kit for content developers to create and publish Augmented Reality applications for iOS, Android, Google Glass and other smart devices.",,Mobile & Telecommunications,Mobile Software & Services,Application Development,United States,Wisconsin,Sun Prairie,,,,
